n,d,s,stopTemp,tempLength,coolRate,cMax,solution,Soltime(s),Runtime(s)
20,0.8,10,1,1000,0.99,-10,5283.0,0.23344182968139648,9.385269165039062
15,0.8,4,1,1000,0.99,-10,2630.0,0.047447919845581055,6.917372941970825
10,0.5,1,1,1000,0.99,-10,920.0,0.0009589195251464844,3.895678997039795
15,0.8,5,1,1000,0.99,-10,2425.0,0.004438161849975586,7.270539045333862
15,0.8,8,1,1000,0.99,-10,2850.0,0.016675949096679688,7.193961143493652
15,0.5,3,1,1000,0.99,-10,1613.0,0.0012412071228027344,5.117661952972412
10,0.8,7,1,1000,0.99,-10,1148.0,0,5.333258867263794
20,0.2,6,1,1000,0.99,-10,1637.0,0.49955201148986816,5.337742805480957
20,0.2,7,1,1000,0.99,-10,1655.0,0.013207674026489258,5.145019769668579
10,0.8,6,1,1000,0.99,-10,1266.0,0.0011091232299804688,5.293975114822388
15,0.5,2,1,1000,0.99,-10,1857.0,0.006233930587768555,5.201206922531128
15,0.8,9,1,1000,0.99,-10,2822.0,0,7.359224081039429
20,0.2,5,1,1000,0.99,-10,1568.0,0.023081064224243164,4.989506006240845
10,0.8,4,1,1000,0.99,-10,1322.0,0.002187013626098633,3.6496808528900146
10,0.8,5,1,1000,0.99,-10,1000.0,0.0009579658508300781,4.77285099029541
20,0.2,4,1,1000,0.99,-10,1546.0,0.25857996940612793,4.882172107696533
15,0.5,1,1,1000,0.99,-10,1931.0,0.036316871643066406,5.510694980621338
15,0.5,5,1,1000,0.99,-10,1715.0,0.03268790245056152,5.5512917041778564
100,0.2,1,1,1000,0.99,-10,34289.0,8.710818767547607,22.840701818466187
10,0.8,1,1,1000,0.99,-10,1145.0,0.0020699501037597656,4.4883928298950195
10,0.5,10,1,1000,0.99,-10,866.0,0,4.490785121917725
20,0.2,1,1,1000,0.99,-10,1355.0,0.02110576629638672,4.6205408573150635
15,0.5,4,1,1000,0.99,-10,1725.0,0.04634523391723633,5.607522010803223
15,0.2,10,1,1000,0.99,-10,827.0,0.012549877166748047,3.7897846698760986
15,0.5,6,1,1000,0.99,-10,1761.0,0.0009248256683349609,5.972769021987915
10,0.5,9,1,1000,0.99,-10,733.0,0.0004208087921142578,4.05924391746521
10,0.8,2,1,1000,0.99,-10,1156.0,0.0005362033843994141,5.192507982254028
20,0.2,3,1,1000,0.99,-10,1339.0,0.12078595161437988,4.608081817626953
15,0.8,10,1,1000,0.99,-10,2797.0,0.012955904006958008,7.003445863723755
20,0.2,2,1,1000,0.99,-10,1547.0,0.12017607688903809,4.950435161590576
10,0.8,3,1,1000,0.99,-10,1288.0,0.0016303062438964844,4.979964256286621
10,0.5,8,1,1000,0.99,-10,759.0,0.0016698837280273438,4.297834873199463
15,0.5,7,1,1000,0.99,-10,1761.0,0.05769801139831543,5.427593946456909
15,0.2,8,1,1000,0.99,-10,866.0,0.018035173416137695,3.8840601444244385
20,0.8,6,1,1000,0.99,-10,4935.0,0.14500880241394043,9.618602991104126
10,0.2,7,1,1000,0.99,-10,387.0,0.00148773193359375,2.9666876792907715
10,0.2,10,1,1000,0.99,-10,437.0,0,3.1650280952453613
10,0.2,6,1,1000,0.99,-10,419.0,0,3.2262442111968994
20,0.8,7,1,1000,0.99,-10,4717.0,0.3240818977355957,9.308481216430664
15,0.5,10,1,1000,0.99,-10,2215.0,0.011479854583740234,5.77312707901001
15,0.2,9,1,1000,0.99,-10,1011.0,0.002686023712158203,3.9763290882110596
10,0.2,4,1,1000,0.99,-10,379.0,0.0005300045013427734,2.975243091583252
20,0.8,5,1,1000,0.99,-10,4340.0,0.020374059677124023,9.794715166091919
20,0.8,4,1,1000,0.99,-10,4285.0,0.33849191665649414,8.929962873458862
10,0.2,5,1,1000,0.99,-10,590.0,0.00040411949157714844,3.233234167098999
10,0.8,10,1,1000,0.99,-10,1276.0,0.00048613548278808594,5.121863126754761
10,0.2,1,1,1000,0.99,-10,280.0,0.00023102760314941406,2.679183006286621
20,0.8,1,1,1000,0.99,-10,4914.0,0.22314214706420898,8.468598127365112
20,0.5,8,1,1000,0.99,-10,3470.0,0.06424617767333984,6.93980598449707
20,0.8,3,1,1000,0.99,-10,4754.0,0.5467791557312012,8.945561170578003
10,0.2,2,1,1000,0.99,-10,232.0,0,2.68650221824646
50,0.8,1,1,1000,0.99,-10,27980.0,8.728272914886475,22.4756178855896
10,0.2,3,1,1000,0.99,-10,306.0,0.0005548000335693359,2.966153860092163
20,0.8,2,1,1000,0.99,-10,4335.0,0.10394597053527832,9.572938919067383
20,0.5,9,1,1000,0.99,-10,3202.0,0.3146178722381592,6.6947340965271
